ProductKey,ProductAlternateKey,ProductSubcategoryKey,WeightUnitMeasureCode,SizeUnitMeasureCode,ProductName,StandardCost,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,ProductDescription,StartDate,EndDate,Status
1,AR-5381,NULL,NULL,NULL,Adjustable Race,NULL,0,NA,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
2,BA-8327,NULL,NULL,NULL,Bearing Ball,NULL,0,NA,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
3,BE-2349,NULL,NULL,NULL,BB Ball Bearing,NULL,0,NA,800,600,NULL,NULL,NA,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
4,BE-2908,NULL,NULL,NULL,Headset Ball Bearings,NULL,0,NA,800,600,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
5,BL-2036,NULL,NULL,NULL,Blade,NULL,0,NA,800,600,NULL,NULL,NA,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
6,CA-5965,NULL,NULL,NULL,LL Crankarm,NULL,0,Black,500,375,NULL,NULL,NA,NULL,0,NULL,NULL,"L ",NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
7,CA-6738,NULL,NULL,NULL,ML Crankarm,NULL,0,Black,500,375,NULL,NULL,NA,NULL,0,NULL,NULL,"M ",NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
8,CA-7457,NULL,NULL,NULL,HL Crankarm,NULL,0,Black,500,375,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
9,CB-2903,NULL,NULL,NULL,Chainring Bolts,NULL,0,Silver,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
10,CN-6137,NULL,NULL,NULL,Chainring Nut,NULL,0,Silver,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
11,CR-7833,NULL,NULL,NULL,Chainring,NULL,0,Black,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
12,CR-9981,NULL,NULL,NULL,Crown Race,NULL,0,NA,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
13,CS-2812,NULL,NULL,NULL,Chain Stays,NULL,0,NA,1000,750,NULL,NULL,NA,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
14,DC-8732,NULL,NULL,NULL,Decal 1,NULL,0,NA,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
15,DC-9824,NULL,NULL,NULL,Decal 2,NULL,0,NA,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
16,DT-2377,NULL,NULL,NULL,Down Tube,NULL,0,NA,800,600,NULL,NULL,NA,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
17,EC-M092,NULL,NULL,NULL,Mountain End Caps,NULL,0,NA,1000,750,NULL,NULL,NA,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
18,EC-R098,NULL,NULL,NULL,Road End Caps,NULL,0,NA,1000,750,NULL,NULL,NA,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
19,EC-T209,NULL,NULL,NULL,Touring End Caps,NULL,0,NA,1000,750,NULL,NULL,NA,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
20,FE-3760,NULL,NULL,NULL,Fork End,NULL,0,NA,800,600,NULL,NULL,NA,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
21,FH-2981,NULL,NULL,NULL,Freewheel,NULL,0,Silver,500,375,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
22,FW-1000,NULL,NULL,NULL,Flat Washer 1,NULL,0,NA,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
23,FW-1200,NULL,NULL,NULL,Flat Washer 6,NULL,0,NA,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
24,FW-1400,NULL,NULL,NULL,Flat Washer 2,NULL,0,NA,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
