ProductSubcategoryKey,ProductCategory,ProductSubcategoryName
1,Bikes,Mountain Bikes
2,Bikes,Road Bikes
3,Bikes,Touring Bikes
4,Components,Handlebars
5,Components,Bottom Brackets
6,Components,Brakes
7,Components,Chains
8,Components,Cranksets
9,Components,Derailleurs
10,Components,Forks
11,Components,Headsets
12,Components,Mountain Frames
13,Components,Pedals
14,Components,Road Frames
15,Components,Saddles
16,Components,Touring Frames
17,Components,Wheels
18,Clothing,Bib-Shorts
19,Clothing,Caps
20,Clothing,Gloves
21,Clothing,Jerseys
22,Clothing,Shorts
23,Clothing,Socks
24,Clothing,Tights
25,Clothing,Vests
26,Accessories,Bike Racks
27,Accessories,Bike Stands
28,Accessories,Bottles and Cages
29,Accessories,Cleaners
30,Accessories,Fenders
31,Accessories,Helmets
32,Accessories,Hydration Packs
33,Accessories,Lights
34,Accessories,Locks
35,Accessories,Panniers
36,Accessories,Pumps
37,Accessories,Tires and Tubes
