State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Rpt_Ind,Ecol_Exp,Salm_Rpt,Salm_Rpt_Ind,Salm_Exp,Shig_Rpt,Shig_Rpt_Ind,Shig_Exp,Toxic_Chem,Carbon_Monoxide_Ind,Nitrogen_Dioxide_Ind,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind,EH_Time_Span
01,001,Autauga,Alabama,AL,29,6690,774,1727,2680,2394,2,3,4,50,4,31,4,3,11,2883197,1,1,1,1,1,1,1999-2003
01,003,Baldwin,Alabama,AL,16,20254,2533,4933,9354,7753,2,3,4,99,4,67,41,4,13,35664,1,1,1,2,1,1,2001-2003
01,005,Barbour,Alabama,AL,51,6729,569,1302,1618,1403,0,3,0,53,4,29,1,3,16,49874,1,1,1,1,1,1,1999-2003
01,007,Bibb,Alabama,AL,42,5355,358,900,1218,1034,2,4,2,9,3,32,3,3,16,7302,1,1,1,1,1,1,1994-2003
01,009,Blount,Alabama,AL,28,11181,819,2217,3164,2675,1,3,5,25,3,31,11,4,5,889020,1,1,1,1,1,1,1999-2003
01,011,Bullock,Alabama,AL,75,2848,327,448,626,565,0,3,1,17,3,20,7,4,7,-2222,1,1,1,1,1,1,1994-2003
01,013,Butler,Alabama,AL,76,4363,537,976,1164,1029,0,3,0,23,3,39,5,3,17,98136,1,1,1,1,1,1,1994-2003
01,015,Calhoun,Alabama,AL,6,19546,2182,5722,6400,5545,0,3,3,31,3,54,33,4,33,808521,1,1,1,1,1,1,2001-2003
01,017,Chambers,Alabama,AL,50,8718,849,1470,2005,1647,0,3,2,32,4,29,1,3,9,276636,1,1,1,1,1,1,1999-2003
01,019,Cherokee,Alabama,AL,64,6398,464,1154,1436,1140,1,3,2,6,3,35,6,4,9,7077,1,1,1,1,1,1,1994-2003
01,021,Chilton,Alabama,AL,32,9484,685,1887,2355,2009,0,3,2,13,3,28,0,3,8,20846,1,1,1,1,1,1,1999-2003
01,023,Choctaw,Alabama,AL,66,3499,325,589,837,701,0,3,0,21,3,29,4,3,24,1997045,1,1,1,1,1,1,1994-2003
01,025,Clarke,Alabama,AL,51,5196,594,972,1494,1290,0,3,0,12,3,28,1,3,15,545514,1,1,1,1,1,1,1999-2003
01,027,Clay,Alabama,AL,63,3333,266,624,814,664,2,4,1,14,3,18,3,3,4,209084,1,1,1,1,1,1,1994-2003
01,029,Cleburne,Alabama,AL,41,3695,234,597,833,697,1,4,1,15,3,26,4,3,12,869963,1,1,1,1,1,1,1994-2003
01,031,Coffee,Alabama,AL,32,8316,694,1940,2590,2179,1,3,2,85,4,31,81,4,9,1002559,1,1,1,1,1,1,1999-2003
01,033,Colbert,Alabama,AL,21,10160,1203,2463,3162,2606,0,3,5,28,3,36,1,3,8,5860561,1,1,1,1,1,1,1999-2003
01,035,Conecuh,Alabama,AL,75,2872,296,576,746,635,0,3,1,19,3,24,3,3,8,77918,1,1,1,1,1,1,1994-2003
01,037,Coosa,Alabama,AL,41,2707,231,422,645,517,0,3,1,4,3,23,5,3,11,25245,1,1,1,1,1,1,1994-2003
01,039,Covington,Alabama,AL,35,8116,686,1763,2131,1748,0,3,2,36,4,30,9,3,22,5291,1,1,1,1,1,1,1999-2003
01,041,Crenshaw,Alabama,AL,71,3755,271,692,783,651,0,3,0,21,4,20,3,3,7,-2222,1,1,1,1,1,1,1994-2003
01,043,Cullman,Alabama,AL,21,16275,1367,3993,4572,3803,0,3,8,60,4,51,15,4,12,1565840,1,1,1,1,1,1,1999-2003
01,045,Dale,Alabama,AL,33,7021,828,1811,2655,2280,0,3,2,73,4,42,17,4,17,90996,1,1,1,1,1,1,1999-2003
01,047,Dallas,Alabama,AL,52,8207,1260,2183,2378,2155,0,3,0,30,3,44,9,3,21,2011358,1,1,1,1,1,1,1999-2003
01,049,DeKalb,Alabama,AL,24,16525,1414,2949,3790,3150,2,4,3,21,3,46,12,4,23,217675,1,1,1,1,1,1,1999-2003
01,051,Elmore,Alabama,AL,19,10979,1091,2028,4170,3646,3,3,7,70,4,51,15,4,14,74339,1,1,1,1,1,1,1999-2003
01,053,Escambia,Alabama,AL,51,8120,721,1763,2165,1834,1,4,0,51,4,38,25,4,21,2302304,1,1,1,1,1,1,1999-2003
01,055,Etowah,Alabama,AL,6,18341,1982,4505,5897,4895,0,3,3,35,3,49,8,3,31,1619985,1,1,1,1,1,1,2001-2003
01,057,Fayette,Alabama,AL,63,4298,315,931,1049,862,0,3,2,32,4,24,1,3,6,71686,1,1,1,1,1,1,1994-2003
01,059,Franklin,Alabama,AL,49,7922,664,1479,1742,1456,0,3,2,26,4,20,4,4,6,93630,1,1,1,1,1,1,1999-2003
01,061,Geneva,Alabama,AL,64,6209,409,1293,1492,1218,2,4,3,69,4,38,7,4,10,161155,1,1,1,1,1,1,1994-2003
01,063,Greene,Alabama,AL,75,2156,210,429,524,468,0,3,1,11,3,17,6,4,6,3448520,1,1,1,1,1,1,1994-2003
01,065,Hale,Alabama,AL,76,4080,325,877,1011,912,3,4,0,21,3,31,7,3,14,51811,1,1,1,1,1,1,1994-2003
01,067,Henry,Alabama,AL,63,3793,294,585,951,789,0,3,2,28,4,21,10,4,5,6200,1,1,1,1,1,1,1994-2003
01,069,Houston,Alabama,AL,23,14840,1547,3259,5260,4426,6,3,4,162,4,76,44,4,36,166337,1,1,1,1,1,1,1999-2003
01,071,Jackson,Alabama,AL,22,12355,1219,2452,3076,2497,1,3,3,18,3,46,1,3,16,6565659,1,1,1,1,1,1,1999-2003
01,073,Jefferson,Alabama,AL,3,83737,12866,25084,36995,31672,12,3,20,231,3,277,169,3,277,13881314,2,1,1,2,1,1,2001-2003
01,075,Lamar,Alabama,AL,63,3708,316,627,871,700,0,3,2,17,3,20,7,4,5,105,1,1,1,1,1,1,1994-2003
01,077,Lauderdale,Alabama,AL,21,14143,1922,3957,5087,4340,1,3,9,45,3,57,1,3,13,150351,1,1,1,1,1,1,1999-2003
01,079,Lawrence,Alabama,AL,32,8128,811,1423,1965,1650,0,3,2,20,4,24,1,3,7,2676270,1,1,1,1,1,1,1999-2003
01,081,Lee,Alabama,AL,22,12989,1982,3886,6997,7710,0,3,6,173,4,99,37,4,35,214408,1,1,1,1,1,1,1999-2003
01,083,Limestone,Alabama,AL,19,12210,1370,2864,4019,3408,4,3,7,19,3,50,1,3,13,31182,1,1,1,1,1,1,1999-2003
01,085,Lowndes,Alabama,AL,66,2939,361,462,703,634,0,3,0,11,3,24,2,3,20,269742,1,1,1,1,1,1,1994-2003
01,087,Macon,Alabama,AL,44,4027,444,850,1267,1319,0,3,2,29,4,29,24,4,12,-2222,1,1,1,1,1,1,1994-2003
01,089,Madison,Alabama,AL,4,28690,4944,9467,16746,14705,5,3,9,105,3,120,17,3,51,922380,1,1,1,1,1,1,2001-2003
01,091,Marengo,Alabama,AL,67,3964,453,857,1193,1055,1,3,0,43,4,36,19,4,14,550529,1,1,1,1,1,1,1994-2003
01,093,Marion,Alabama,AL,49,7912,553,1450,1758,1393,1,3,2,32,4,20,3,3,6,662356,1,1,1,1,1,1,1999-2003
01,095,Marshall,Alabama,AL,22,17599,1461,3402,4779,3984,3,3,4,37,3,70,7,3,25,220359,1,1,1,1,1,1,1999-2003
01,097,Mobile,Alabama,AL,5,59807,8140,9386,21921,19559,3,3,12,354,4,204,534,4,156,21502254,1,1,1,2,1,1,2001-2003
01,099,Monroe,Alabama,AL,67,4953,538,802,1299,1132,0,3,0,43,4,39,16,4,15,4478917,1,1,1,1,1,1,1994-2003
01,101,Montgomery,Alabama,AL,7,27476,4395,7028,12171,11178,4,4,13,186,4,127,76,4,120,525979,1,1,1,1,1,1,2001-2003
01,103,Morgan,Alabama,AL,14,18217,2266,4163,6428,5407,1,3,3,39,4,44,11,4,13,4780002,1,1,1,1,1,1,2001-2003
01,105,Perry,Alabama,AL,75,2502,288,476,592,581,0,3,1,2,3,20,6,4,7,1052,1,1,1,1,1,1,1994-2003
01,107,Pickens,Alabama,AL,76,4021,397,872,1121,973,0,3,0,34,3,38,4,3,17,60,1,1,1,1,1,1,1994-2003
01,109,Pike,Alabama,AL,35,5590,545,1040,1668,1638,0,3,1,51,4,24,7,3,18,3133084,1,1,1,1,1,1,1999-2003
01,111,Randolph,Alabama,AL,72,5839,535,956,1281,1084,1,3,0,23,3,33,1,3,9,21996,1,1,1,1,1,1,1994-2003
01,113,Russell,Alabama,AL,8,11013,1111,1938,2738,2332,0,3,0,48,4,49,27,4,25,2399555,1,1,1,1,1,1,1999-2003
01,115,St. Clair,Alabama,AL,22,14117,1135,3385,4123,3497,2,3,3,33,3,56,15,4,20,208520,1,1,1,1,1,1,1999-2003
01,117,Shelby,Alabama,AL,11,14846,2373,5133,9515,8223,1,3,9,40,3,56,8,3,19,7440897,1,1,1,2,1,1,2001-2003
01,119,Sumter,Alabama,AL,66,2941,326,660,751,730,0,3,0,19,3,27,7,3,23,8006596,1,1,1,1,1,1,1994-2003
01,121,Talladega,Alabama,AL,8,16423,1723,4701,4547,3867,0,3,0,29,3,80,7,3,40,1344808,1,1,1,1,1,1,1999-2003
01,123,Tallapoosa,Alabama,AL,49,8472,754,1816,2338,1906,0,3,2,26,3,27,16,4,8,66626,1,1,1,1,1,1,1999-2003
01,125,Tuscaloosa,Alabama,AL,6,22290,2786,6263,9557,9241,6,4,5,123,4,80,83,4,50,6160225,1,1,1,1,1,1,2001-2003
01,127,Walker,Alabama,AL,24,15989,1212,4106,4022,3280,0,3,4,57,4,49,8,3,25,6492544,1,1,1,1,1,1,1999-2003
01,129,Washington,Alabama,AL,66,3236,392,709,976,848,0,3,0,36,4,32,10,3,27,2337250,1,1,1,1,1,1,1994-2003
01,131,Wilcox,Alabama,AL,75,3147,307,558,679,638,0,3,1,3,3,23,1,3,8,1894381,1,1,1,1,1,1,1994-2003
01,133,Winston,Alabama,AL,41,6425,475,1190,1421,1156,1,3,2,17,3,46,1,3,22,88000,1,1,1,1,1,1,1994-2003
02,013,Aleutians East,Alaska,AK,80,525,100,-2222,171,212,0,3,1,0,3,3,0,3,1,25195,1,1,1,1,1,1,1994-2003
02,016,Aleutians West,Alaska,AK,78,897,177,-2222,338,409,0,3,2,10,4,6,0,3,2,5362,1,1,1,1,1,1,1994-2003
02,020,Anchorage,Alaska,AK,9,16120,7950,-2222,14238,20542,10,3,16,86,3,104,13,3,56,41319,1,1,1,1,1,1,2001-2003
02,050,Bethel,Alaska,AK,86,2456,893,-2222,754,1236,0,3,2,4,3,19,0,3,50,-2222,1,1,1,1,1,1,1994-2003
02,060,Bristol Bay,Alaska,AK,78,80,57,-2222,60,83,0,3,0,0,3,1,0,3,0,-2222,1,1,1,1,1,1,1994-2003
02,068,Denali,Alaska,AK,78,108,102,-2222,107,140,0,3,1,0,3,2,0,3,1,247007,1,1,1,1,1,1,1994-2003
02,070,Dillingham,Alaska,AK,83,624,218,-2222,233,365,0,3,0,0,3,5,0,3,5,-2222,1,1,1,1,1,1,1994-2003
02,090,Fairbanks North Star,Alaska,AK,17,4115,2590,-2222,4461,6826,5,3,13,32,3,63,2,3,17,4196772,1,1,1,1,1,1,1999-2003
