Day,SMI,SMI missing values
1,1678.1,1678.1
2,1688.5,1688.5
3,1678.6,1678.6
4,1684.1,1684.1
5,1686.6,1686.6
6,1671.6,1671.6
7,1682.9,1682.9
8,1703.6,1703.6
9,1697.5,1697.5
10,1716.3,1716.3
11,1723.8,1723.8
12,1730.5,1730.5
13,1727.4,1727.4
14,1733.3,1733.3
15,1734,NA
16,1728.3,1728.3
17,1737.1,1737.1
18,1723.1,1723.1
19,1723.6,1723.6
20,1719,NA
21,1721.2,1721.2
22,1725.3,1725.3
23,1727.2,1727.2
24,1727.2,1727.2
25,1731.6,1731.6
26,1724.1,1724.1
27,1716.9,1716.9
28,1723.4,1723.4
29,1723,NA
30,1728.4,1728.4
31,1722.1,1722.1
32,1724.5,1724.5
33,1733.6,1733.6
34,1739,NA
35,1726.2,1726.2
36,1587.4,1587.4
37,1630.6,1630.6
38,1685.5,1685.5
39,1701.3,1701.3
40,1718,NA
41,1726.2,1726.2
42,1716.6,1716.6
43,1725.8,1725.8
44,1737.4,1737.4
45,1736.6,1736.6
46,1732.4,1732.4
47,1731.2,1731.2
48,1726.9,1726.9
49,1727.8,1727.8
50,1720.2,1720.2
51,1715.4,1715.4
52,1708.7,1708.7
53,1713,NA
54,1713.5,1713.5
55,1718,NA
56,1701.7,1701.7
57,1701.7,1701.7
58,1684.9,1684.9
59,1687.2,1687.2
60,1690.6,1690.6
61,1684.3,1684.3
62,1679.9,1679.9
63,1672.9,1672.9
64,1663.1,1663.1
65,1669.3,1669.3
66,1664.7,1664.7
67,1672.3,1672.3
68,1687.7,1687.7
69,1686.8,1686.8
70,1686.6,1686.6
71,1675.8,1675.8
72,1677.4,1677.4
73,1673.2,1673.2
74,1665,NA
75,1671.3,1671.3
76,1672.4,1672.4
77,1676.2,1676.2
78,1692.6,1692.6
79,1696.5,1696.5
80,1716.1,1716.1
81,1713.3,1713.3
82,1705.1,1705.1
83,1711.3,1711.3
84,1709.8,1709.8
85,1688.6,1688.6
86,1698.9,1698.9
87,1700,NA
88,1693,NA
89,1683.9,1683.9
90,1679.2,1679.2
91,1673.9,1673.9
92,1683.9,1683.9
93,1688.4,1688.4
94,1693.9,1693.9
95,1720.9,1720.9
96,1717.9,1717.9
97,1733.6,1733.6
98,1729.7,1729.7
99,1735.6,1735.6
100,1734.1,1734.1
101,1699.3,1699.3
102,1678.6,1678.6
103,1675.5,1675.5
104,1670.1,1670.1
105,1652.2,1652.2
106,1635,NA
107,1654.9,1654.9
108,1642,NA
109,1638.7,1638.7
110,1622.6,1622.6
111,1596.1,1596.1
112,1612.4,1612.4
113,1625,NA
114,1610.5,1610.5
115,1606.6,1606.6
116,1610.7,1610.7
117,1603.1,1603.1
118,1591.5,1591.5
119,1605.2,1605.2
120,1621.4,1621.4
121,1622.5,1622.5
122,1626.6,1626.6
123,1627.4,1627.4
124,1614.9,1614.9
125,1602.3,1602.3
126,1598.3,1598.3
127,1627,NA
128,1627,NA
129,1627,NA
130,1655.7,1655.7
131,1670.1,1670.1
132,1670.1,1670.1
133,1670.1,1670.1
134,1670.1,1670.1
135,1704,NA
136,1711.8,1711.8
137,1700.5,1700.5
138,1690.3,1690.3
139,1715.4,1715.4
140,1723.5,1723.5
141,1719.4,1719.4
142,1734.4,1734.4
143,1772.8,1772.8
144,1760.3,1760.3
145,1747.2,1747.2
146,1750.2,1750.2
147,1755.3,1755.3
148,1754.6,1754.6
149,1751.2,1751.2
150,1752.5,1752.5
151,1769.4,1769.4
152,1767.6,1767.6
153,1750,NA
154,1747.1,1747.1
155,1753.5,1753.5
156,1752.8,1752.8
157,1752.9,1752.9
158,1764.7,1764.7
159,1776.8,1776.8
160,1779.3,1779.3
161,1785.1,1785.1
162,1798.2,1798.2
163,1794.1,1794.1
164,1795.2,1795.2
165,1780.4,1780.4
166,1789.5,1789.5
167,1794.2,1794.2
168,1784.4,1784.4
169,1800.1,1800.1
170,1804,NA
171,1816.2,1816.2
172,1810.5,1810.5
173,1821.9,1821.9
174,1828.2,1828.2
175,1840.6,1840.6
176,1841.1,1841.1
177,1846.3,1846.3
178,1850,NA
179,1839,NA
180,1820.2,1820.2
181,1815.2,1815.2
182,1820.6,1820.6
183,1807.1,1807.1
184,1791.4,1791.4
185,1806.2,1806.2
186,1798.7,1798.7
187,1818.2,1818.2
188,1820.5,1820.5
189,1833.3,1833.3
190,1837.1,1837.1
191,1818.2,1818.2
192,1824.1,1824.1
193,1830.1,1830.1
194,1835.6,1835.6
195,1828.7,1828.7
196,1839.2,1839.2
197,1837.2,1837.2
198,1826.7,1826.7
199,1838,NA
200,1829.1,1829.1
201,1843.1,1843.1
202,1850.5,1850.5
203,1827.1,1827.1
204,1829.1,1829.1
205,1848,NA
206,1840.5,1840.5
207,1853.8,1853.8
208,1874.1,1874.1
209,1871.3,1871.3
210,1871.3,1871.3
211,1871.3,1871.3
212,1860.5,1860.5
213,1874.7,1874.7
214,1880.1,1880.1
215,1874.7,1874.7
216,1875.6,1875.6
217,1859.5,1859.5
218,1874.2,1874.2
219,1880.1,1880.1
220,1880.1,1880.1
221,1907.7,1907.7
222,1920.5,1920.5
223,1937.3,1937.3
224,1936.8,1936.8
225,1949.1,1949.1
226,1963.7,1963.7
227,1950.8,1950.8
228,1953.5,1953.5
229,1945,NA
230,1921.1,1921.1
231,1939.1,1939.1
232,1928,NA
233,1933.4,1933.4
234,1925.7,1925.7
235,1931.7,1931.7
236,1928.7,1928.7
237,1924.5,1924.5
238,1914.2,1914.2
239,1914.2,1914.2
240,1920.6,1920.6
241,1923.3,1923.3
242,1930.4,1930.4
243,1915.2,1915.2
244,1916.9,1916.9
245,1913.8,1913.8
246,1913.8,1913.8
247,1899.7,1899.7
248,1888,NA
249,1868.8,1868.8
250,1879.9,1879.9
251,1865.7,1865.7
252,1881.3,1881.3
253,1873.1,1873.1
254,1862.5,1862.5
255,1869.3,1869.3
256,1846.9,1846.9
257,1847.1,1847.1
258,1838.3,1838.3
259,1845.8,1845.8
260,1835.5,1835.5
261,1846.6,1846.6
262,1854.8,1854.8
263,1845.3,1845.3
264,1854.5,1854.5
265,1870.5,1870.5
266,1862.6,1862.6
267,1856.6,1856.6
268,1837.6,1837.6
269,1846.7,1846.7
270,1856.5,1856.5
271,1841.8,1841.8
272,1835,NA
273,1844.4,1844.4
274,1838.9,1838.9
275,1805.6,1805.6
276,1756.6,1756.6
277,1786.1,1786.1
278,1757.1,1757.1
279,1762.8,1762.8
280,1756.8,1756.8
281,1761.9,1761.9
282,1778.5,1778.5
283,1812.7,1812.7
284,1806.1,1806.1
285,1798.1,1798.1
286,1794.9,1794.9
287,1805.4,1805.4
288,1820.3,1820.3
289,1819.6,1819.6
290,1809.6,1809.6
291,1799.9,1799.9
292,1800.3,1800.3
293,1793.3,1793.3
294,1784.8,1784.8
295,1791.7,1791.7
296,1800.2,1800.2
297,1788.6,1788.6
298,1775.7,1775.7
299,1753.5,1753.5
300,1768.2,1768.2
301,1727.9,1727.9
302,1709.6,1709.6
303,1704.6,1704.6
304,1740.6,1740.6
305,1745.7,1745.7
306,1751.7,1751.7
307,1747.3,1747.3
308,1757.8,1757.8
309,1774.2,1774.2
310,1774.4,1774.4
311,1788.3,1788.3
312,1788,NA
313,1779.1,1779.1
314,1792.8,1792.8
315,1812,NA
316,1872.1,1872.1
317,1851.4,1851.4
318,1873.4,1873.4
319,1889.6,1889.6
320,1897.5,1897.5
321,1888.8,1888.8
322,1900.4,1900.4
323,1913.4,1913.4
324,1909.9,1909.9
